Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Middelvind;Snødybde;Relativ luftfuktighet
Stryn - Kroken;SN58900;01.01.2024 01:00;0;3,3;2,4;28;48
Stryn - Kroken;SN58900;01.01.2024 02:00;0;3,6;3,1;28;47
Stryn - Kroken;SN58900;01.01.2024 03:00;0;3,1;4,4;29;47
Stryn - Kroken;SN58900;01.01.2024 04:00;0;2,8;4,5;29;46
Stryn - Kroken;SN58900;01.01.2024 05:00;0;2,9;4,1;29;46
Stryn - Kroken;SN58900;01.01.2024 06:00;0;2,9;4,3;28;46
Stryn - Kroken;SN58900;01.01.2024 07:00;0;3;4,3;28;45
Stryn - Kroken;SN58900;01.01.2024 08:00;0;3,3;4,1;28;43
Stryn - Kroken;SN58900;01.01.2024 09:00;0;2,9;4;27;46
Stryn - Kroken;SN58900;01.01.2024 10:00;0;2,7;3,7;26;47
Stryn - Kroken;SN58900;01.01.2024 11:00;0;2,4;3,3;27;45
Stryn - Kroken;SN58900;01.01.2024 12:00;0;2,2;4,3;26;45
Stryn - Kroken;SN58900;01.01.2024 13:00;0;2;3,2;25;45
Stryn - Kroken;SN58900;01.01.2024 14:00;0;1,6;1,8;25;46
Stryn - Kroken;SN58900;01.01.2024 15:00;0;0,9;1,4;26;48
Stryn - Kroken;SN58900;01.01.2024 16:00;0;1,8;3,1;26;44
Stryn - Kroken;SN58900;01.01.2024 17:00;0;1,1;4,3;25;44
Stryn - Kroken;SN58900;01.01.2024 18:00;0;1,1;4,3;24;43
Stryn - Kroken;SN58900;01.01.2024 19:00;0;0,4;3,7;25;45
Stryn - Kroken;SN58900;01.01.2024 20:00;0;0,2;3,3;26;44
Stryn - Kroken;SN58900;01.01.2024 21:00;0;0,4;2,4;26;45
Stryn - Kroken;SN58900;01.01.2024 22:00;0;0,8;3,5;27;45
Stryn - Kroken;SN58900;01.01.2024 23:00;0;0,9;3,1;27;46
Stryn - Kroken;SN58900;02.01.2024 00:00;0;0,7;4,4;27;46
