Navn;Stasjon;Tid (t);Nedbør (mm);Lufttemperatur (C);Middelvind (m/s);Relativ luftfuktighet (g/m³)
Oslo - Blindern;SN18700;26.05.2024 00:00;;19.2;2.6;68
Oslo - Blindern;SN18700;26.05.2024 01:00;;19.4;3.2;70
Oslo - Blindern;SN18700;26.05.2024 02:00;;19.2;3.2;72
Oslo - Blindern;SN18700;26.05.2024 03:00;;18.6;1.9;74
Oslo - Blindern;SN18700;26.05.2024 04:00;;18.2;3.4;77
Oslo - Blindern;SN18700;26.05.2024 05:00;;19.3;2.7;72
Oslo - Blindern;SN18700;26.05.2024 06:00;;20.1;2.6;68
Oslo - Blindern;SN18700;26.05.2024 07:00;;20.7;2.3;65
Oslo - Blindern;SN18700;26.05.2024 08:00;;21.6;2.8;62
Oslo - Blindern;SN18700;26.05.2024 09:00;;23.3;3.1;54
Oslo - Blindern;SN18700;26.05.2024 10:00;;24.0;3.6;51
Oslo - Blindern;SN18700;26.05.2024 11:00;;24.7;2.9;45
Oslo - Blindern;SN18700;26.05.2024 12:00;;26.1;3.7;42
Oslo - Blindern;SN18700;26.05.2024 13:00;;25.5;5.3;40
Oslo - Blindern;SN18700;26.05.2024 14:00;;25.2;5.0;39
Oslo - Blindern;SN18700;26.05.2024 15:00;;26.1;5.2;37
Oslo - Blindern;SN18700;26.05.2024 16:00;;25.4;4.4;38
Oslo - Blindern;SN18700;26.05.2024 17:00;;25.0;5.4;35
Oslo - Blindern;SN18700;26.05.2024 18:00;;20.9;5.0;53
Oslo - Blindern;SN18700;26.05.2024 19:00;;18.5;3.5;73
Oslo - Blindern;SN18700;26.05.2024 20:00;;18.0;1.8;79
Oslo - Blindern;SN18700;26.05.2024 21:00;;17.5;2.5;83
Oslo - Blindern;SN18700;26.05.2024 22:00;;16.7;3.1;87
Oslo - Blindern;SN18700;26.05.2024 23:00;;16.3;2.8;92
Oslo - Blindern;SN18700;27.05.2024 00:00;;16.0;2.8;95
Oslo - Blindern;SN18700;27.05.2024 01:00;;15.7;1.8;96
Oslo - Blindern;SN18700;27.05.2024 02:00;;15.7;2.0;94
Oslo - Blindern;SN18700;27.05.2024 03:00;;15.6;1.0;94
Oslo - Blindern;SN18700;27.05.2024 04:00;;16.0;2.2;91
Oslo - Blindern;SN18700;27.05.2024 05:00;;16.6;2.2;87
